JR179_403	Amundsen
JR179_674	Amundsen
JR179_797	Amundsen
LS74	BransfieldStrait
LS84	BransfieldStrait
PT2429AP	BransfieldStrait
CT816	EAAdelie
CT827	EAAdelie
CT828	EAAdelie
CT846	EAAdelie
CT864	EAAdelie
CT883	EAAdelie
CT895	EAAdelie
CT898	EAAdelie
CT903	EAAdelie
CT906	EAAdelie
CT916	EAAdelie
CT918	EAAdelie
CT919	EAAdelie
CT920	EAAdelie
CT921	EAAdelie
CT922	EAAdelie
CT924	EAAdelie
CT926	EAAdelie
CT927	EAAdelie
CT928	EAAdelie
CT932	EAAdelie
CT937	EAAdelie
CT938	EAAdelie
CT946	EAAdelie
CT947	EAAdelie
CT948	EAAdelie
JS091	EAMawson
JS099	EAMawson
Oct03A	EAMawson
Oct10	EAMawson
KL05_0779	EastAP
KL05_0780	EastAP
KL05_0787	EastAP
KLO5_0783	EastAP
KL05_0785	EastWeddellSea
LS16	EastWeddellSea
Octo1	EastWeddellSea
Octo10	EastWeddellSea
Octo14	EastWeddellSea
Octo17	EastWeddellSea
Octo18	EastWeddellSea
Octo19	EastWeddellSea
Octo20	EastWeddellSea
Octo21	EastWeddellSea
Octo24	EastWeddellSea
Octo3	EastWeddellSea
Octo4	EastWeddellSea
Octo9	EastWeddellSea
PT3WS	EastWeddellSea
PT5WS	EastWeddellSea
WS49	EastWeddellSea
AND138	ElephantIs
AND226	ElephantIs
AND432	ElephantIs
PT102PL1	ElephantIs
PT103PL2	ElephantIs
PT111PL1	ElephantIs
PT145AP	ElephantIs
PT155	ElephantIs
PT186PL1	ElephantIs
PT191PL2	ElephantIs
PT201_1	ElephantIs
PT201_2	ElephantIs
PT268AP	ElephantIs
PT271AP	ElephantIs
PT70PL2	ElephantIs
PT76	ElephantIs
PT97	ElephantIs
PT27PL2	KingGeorgeIs
PT28PL2	KingGeorgeIs
PT34PL1	KingGeorgeIs
AND2414	LivingstonIs
44059	RossSea
44112	RossSea
44121	RossSea
44132	RossSea
44067_2	RossSea
44067_5	RossSea
44072_2	RossSea
44074_4	RossSea
44113_1	RossSea
44118_1	RossSea
44118_2	RossSea
44253_2	RossSea
44258_1	RossSea
44258_4	RossSea
AD01A	EACasey
PT20SG	ShagRocks
PT215SG	ShagRocks
PT217SG	ShagRocks
PT218SG	ShagRocks
PT219SG	ShagRocks
PT220SG	ShagRocks
PT22SG	ShagRocks
PT25SG	ShagRocks
PT27SG	ShagRocks
PT297_1	ShagRocks
PT310SG	ShagRocks
PT339SG	ShagRocks
PT341SG	ShagRocks
PT342SG	ShagRocks
PT343SG	ShagRocks
PT378SG	ShagRocks
PT379SG	ShagRocks
PT383SG	ShagRocks
PT385SG	ShagRocks
PT43SG	ShagRocks
PT452SG	ShagRocks
PT453SG	ShagRocks
PT454SG	ShagRocks
PT465SG	ShagRocks
PT473SG	ShagRocks
PT474SG	ShagRocks
PT475SG	ShagRocks
PT487SG	ShagRocks
PT488SG	ShagRocks
PT489SG	ShagRocks
PT490SG	ShagRocks
PT496SG	ShagRocks
PT497SG	ShagRocks
PT498SG	ShagRocks
PT499SG	ShagRocks
PT500SG	ShagRocks
PT501SG	ShagRocks
PT502SG	ShagRocks
PT503SG	ShagRocks
PT504SG	ShagRocks
PT505SG	ShagRocks
PT506SG	ShagRocks
PT507SG	ShagRocks
PT509SG	ShagRocks
PT510SG	ShagRocks
PT51SG	ShagRocks
PT52SG	ShagRocks
PT53SG	ShagRocks
PT54SG	ShagRocks
PT70SG	ShagRocks
PT71SG	ShagRocks
PT72SG	ShagRocks
PT80SG	ShagRocks
PT81SG	ShagRocks
PT82SG	ShagRocks
PT83SG	ShagRocks
PT104SG	SouthGeorgia
PT10SG	SouthGeorgia
PT11SG	SouthGeorgia
PT14SG	SouthGeorgia
PT209SG	SouthGeorgia
PT210SG	SouthGeorgia
PT211SG	SouthGeorgia
PT212SG	SouthGeorgia
PT213SG	SouthGeorgia
PT221SG	SouthGeorgia
PT222SG	SouthGeorgia
PT223SG	SouthGeorgia
PT224SG	SouthGeorgia
PT225SG	SouthGeorgia
PT243SG	SouthGeorgia
PT244SG	SouthGeorgia
PT245SG	SouthGeorgia
PT246SG	SouthGeorgia
PT247SG	SouthGeorgia
PT248SG	SouthGeorgia
PT249SG	SouthGeorgia
PT250SG	SouthGeorgia
PT251SG	SouthGeorgia
PT252SG	SouthGeorgia
PT263SG	SouthGeorgia
PT264SG	SouthGeorgia
PT265SG	SouthGeorgia
PT266SG	SouthGeorgia
PT280SG	SouthGeorgia
PT281SG	SouthGeorgia
PT299SG	SouthGeorgia
PT301SG	SouthGeorgia
PT302SG	SouthGeorgia
PT304SG	SouthGeorgia
PT306SG	SouthGeorgia
PT307SG	SouthGeorgia
PT30SG	SouthGeorgia
PT312SG	SouthGeorgia
PT314SG	SouthGeorgia
PT318SG	SouthGeorgia
PT31SG	SouthGeorgia
PT320SG	SouthGeorgia
PT321SG	SouthGeorgia
PT322SG	SouthGeorgia
PT323SG	SouthGeorgia
PT325SG	SouthGeorgia
PT327SG	SouthGeorgia
PT32SG	SouthGeorgia
PT330SG	SouthGeorgia
PT331SG	SouthGeorgia
PT336SG	SouthGeorgia
PT402SG	SouthGeorgia
PT404SG	SouthGeorgia
PT441SG	SouthGeorgia
PT463SG	SouthGeorgia
PT466SG	SouthGeorgia
PT484SG	SouthGeorgia
PT486SG	SouthGeorgia
PT492SG	SouthGeorgia
PT493SG	SouthGeorgia
PT495SG	SouthGeorgia
PT50SG	SouthGeorgia
PT5SG	SouthGeorgia
PT62SG	SouthGeorgia
PT6SG	SouthGeorgia
PT7SG	SouthGeorgia
PT86SG	SouthGeorgia
PT88SG	SouthGeorgia
PT8SG	SouthGeorgia
PT94SG	SouthGeorgia
PT96SG	SouthGeorgia
PT317SG	SouthGeorgia
JCR1529	SouthOrkney
PT244PL2	SouthOrkney
PT246PL1	SouthOrkney
PT248	SouthOrkney
PT251PL1	SouthOrkney
PT26PL2	SouthOrkney
PT262P1	SouthOrkney
PT263P1	SouthOrkney
PT264PL1	SouthOrkney
PT270PL2	SouthOrkney
LS155	SouthShetland
LS157	SouthShetland
LS158	SouthShetland
LS162	SouthShetland
LS5	SouthShetland
JS_15	SouthWeddellSea
JS_18	SouthWeddellSea
JS_19	SouthWeddellSea
JS_22	SouthWeddellSea
JS_24	SouthWeddellSea
JS_27	SouthWeddellSea
JS_29	SouthWeddellSea
JS_30	SouthWeddellSea
JS_31	SouthWeddellSea
JS_35	SouthWeddellSea
JS_36	SouthWeddellSea
JS_37	SouthWeddellSea
JS_38	SouthWeddellSea
JS_39	SouthWeddellSea
JS_41	SouthWeddellSea
JS_43	SouthWeddellSea
JS_46	SouthWeddellSea
JS_47	SouthWeddellSea
JS_48	SouthWeddellSea
JS_49	SouthWeddellSea
JS_51	SouthWeddellSea
JS_52	SouthWeddellSea
JS_53	SouthWeddellSea
JS11	SouthWeddellSea
JS13	SouthWeddellSea
JS14	SouthWeddellSea
JS2	SouthWeddellSea
JS8	SouthWeddellSea
P322_7	unknown
09_0814	WestAP
PT2407AP	LivingstonIs
PT149AP	WestRobertIs
PT152AP	WestRobertIs
PT154AP	WestRobertIs
PT157AP	WestRobertIs
PT163AP	WestRobertIs
PT165AP	WestRobertIs
AD_01_6	EACasey
PT328SG	SouthGeorgia
PT442SG	SouthGeorgia