,ID,location,depth,lat,long,temperature,nitrsursum,salinitybot
5,09_0713,Peninsula,586.23,-67.752,-70.063,1.1698246,23.00167656,34.72819901
12,AND145,ElephantIs,189.6,-61.07,-54.61,-0.433382422,25.02997398,34.62559891
13,AND271,ElephantIs,343.2,-61.16,-54.56,-0.476385266,25.02997398,34.62544632
26,LS149,RobertIs,804,-61.975,-60.31166667,0.394025475,24.06748009,34.68024826
28,LS152,RobertIs,804,-61.975,-60.31166667,0.394025475,24.06748009,34.68024826
29,LS154,RobertIs,804,-61.975,-60.31166667,0.394025475,24.06748009,34.68024826
30,LS161,RobertIs,804,-61.975,-60.31166667,0.394025475,24.06748009,34.68024826
34,PT108,ElephantIs,107.57,-61.2,-55.9,-0.074033789,23.83272743,34.63867188
35,PT117AP,DeceptionIs,352,-63.02,-61.145,0.033099905,21.07044411,34.63312531
36,PT119AP41,DeceptionIs,352,-63.02,-61.145,0.033099905,21.07044411,34.63312531
37,PT151AP,RobertIs,804,-61.975,-60.31166667,0.394025475,24.06748009,34.68024826
38,PT154,ElephantIs,102.86,-61.2,-55.7,-0.340983898,24.44049835,34.61421585
39,PT156AP,RobertIs,804,-61.975,-60.31166667,0.394025475,24.06748009,34.68024826
41,PT192,ElephantIs,103.4,-61.2,-55.7,-0.340983898,24.44049835,34.61421585
42,PT214SG,ShagRocks,164,-53.74,-41.46,1.537053347,20.96068001,34.67206192
43,PT24,KingGeorgeIs,111,-62,-57.2,-0.168390483,22.55887795,34.62919617
44,PT2414AP,LivingstonIs,363,-62.39,-61.4,0.568268478,23.69682312,34.6820488
45,PT24SG,ShagRocks,314,-53.92,-41.56,1.24115634,20.96068001,34.67532349
46,PT25,KingGeorgeIs,111,-62,-57.2,-0.168390483,22.55887795,34.62919617
47,PT250,SouthOrkney,240.07,-61,-45.9,0.174911827,25.06578636,34.65316391
48,PT255,SouthOrkney,111,-62,-57.2,-0.168390483,22.55887795,34.62919617
49,PT267AP,ElephantIs,343.2,-61.16,-54.56,-0.476385266,25.02997398,34.62544632
50,PT272AP,ElephantIs,343.2,-61.16,-54.56,-0.476385266,25.02997398,34.62544632
51,PT305SG,SouthGeorgia,150,-54.58,-35.44,0.904705167,22.54454041,34.5406723
52,PT328SG,SouthGeorgia,149,-55.06,-36.07,1.222431302,22.00994301,34.30550766
53,PT33,KingGeorgeIs,111,-62,-57.2,-0.168390483,22.55887795,34.62919617
54,PT354SG,SouthGeorgia,205,-54.07,-35.67,1.109857917,20.59686852,34.69886017
55,PT355SG,SouthGeorgia,205,-54.07,-35.67,1.109857917,20.59686852,34.69886017
56,PT356SG,SouthGeorgia,205,-54.07,-35.67,1.109857917,20.59686852,34.69886017
57,PT357SG,SouthGeorgia,205,-54.07,-35.67,1.109857917,20.59686852,34.69886017
58,PT36,KingGeorgeIs,111,-62,-57.2,-0.168390483,22.55887795,34.62919617
59,PT366SG,SouthGeorgia,349,-54.78,-34.92,1.11273241,22.84948158,34.56650925
60,PT367SG,SouthGeorgia,349,-54.78,-34.92,1.11273241,22.84948158,34.56650925
61,PT376SG,ShagRocks,120,-53.57,-41.63,1.832950592,20.96068001,34.66880035
62,PT377SG,ShagRocks,120,-53.57,-41.63,1.832950592,20.96068001,34.66880035
64,PT381SG,ShagRocks,120,-53.57,-41.63,1.832950592,20.96068001,34.66880035
65,PT382SG,ShagRocks,120,-53.57,-41.63,1.832950592,20.96068001,34.66880035
66,PT386SG,ShagRocks,120,-53.57,-41.63,1.832950592,20.96068001,34.66880035
67,PT401SG,SouthGeorgia,124,-55.06,-35.38,1.234025598,22.23356056,34.41679764
68,PT415SG,SouthGeorgia,113,-54.62,-35.53,0.904705167,22.54454041,34.5406723
69,PT420SG,SouthGeorgia,113,-54.62,-35.53,0.904705167,22.54454041,34.5406723
70,PT421SG,SouthGeorgia,113,-54.62,-35.53,0.904705167,22.54454041,34.5406723
71,PT42SG,ShagRocks,130,-53.72,-41.28,1.216959953,20.96068001,34.68569565
72,PT432SG,SouthGeorgia,154,-53.67,-38.07,0.887907207,19.44657135,34.26012039
73,PT440SG,SouthGeorgia,168,-53.65,-37.22,0.973935604,19.44657135,34.36063385
74,PT445SG,SouthGeorgia,168,-53.65,-37.22,0.973935604,19.44657135,34.36063385
75,PT446SG,SouthGeorgia,168,-53.65,-37.22,0.973935604,19.44657135,34.36063385
76,PT449SG,SouthGeorgia,168,-53.65,-37.22,0.973935604,19.44657135,34.36063385
78,PT508SG,SouthGeorgia,158,-53.53,-42.22,1.815944195,21.34707069,34.71105957
79,PT511SG,ShagRocks,158,-53.53,-42.22,1.815944195,21.34707069,34.71105957
82,PT73SG,SouthGeorgia,401,-53.79,-39.29,0.55995971,20.3110981,34.60616303
83,PT84AP,BransfieldStrait,666,-63.03833333,-59.17333333,-1.007869244,21.67424774,34.58736038