ID,location
CT931,P_cornuta
44064_1,P_aequipapillae
44117,RossSea
44122,RossSea
44130,RossSea
44255,RossSea
09_0713,Peninsula
44074_5,RossSea
44113_3,RossSea
44113_4,RossSea
44118_3,RossSea
44256_1,RossSea
AD_01_6,EACasey
AND145,ElephantIs
AND271,ElephantIs
CT905,EAAdelie
CT909,EAAdelie
CT917,EAAdelie
CT933,EAAdelie
CT939,EAAdelie
JR179_141,Amundsen
JS_26,SouthWeddellSea
JS_40,SouthWeddellSea
JS_44,SouthWeddellSea
JS096,EAMawson
JS097,EAMawson
JS10,SouthWeddellSea
JS5,SouthWeddellSea
LS14,EastWeddellSea
LS149,RobertIs
LS15,EastWeddellSea
LS152,RobertIs
LS154,RobertIs
LS161,RobertIs
LS3,EastWeddellSea
NIWA87970,RossSea
Oct-13,EastWeddellSea
Oct-02,EastWeddellSea
PT108,ElephantIs
PT117AP,DeceptionIs
PT119AP41,DeceptionIs
PT151AP,RobertIs
PT154,ElephantIs
PT156AP,RobertIs
PT16WS,EastWeddellSea
PT192,ElephantIs
PT214SG,ShagRocks
PT24,KingGeorgeIs
PT2414AP,LivingstonIs
PT24SG,ShagRocks
PT25,KingGeorgeIs
PT250,SouthOrkney
PT255,SouthOrkney
PT267AP,ElephantIs
PT272AP,ElephantIs
PT305SG,SouthGeorgia
PT328SG,SouthGeorgia
PT33,KingGeorgeIs
PT354SG,SouthGeorgia
PT355SG,SouthGeorgia
PT356SG,SouthGeorgia
PT357SG,SouthGeorgia
PT36,KingGeorgeIs
PT366SG,SouthGeorgia
PT367SG,SouthGeorgia
PT376SG,ShagRocks
PT377SG,ShagRocks
PT378WS,EastWeddellSea
PT381SG,ShagRocks
PT382SG,ShagRocks
PT386SG,ShagRocks
PT401SG,SouthGeorgia
PT415SG,SouthGeorgia
PT420SG,SouthGeorgia
PT421SG,SouthGeorgia
PT42SG,ShagRocks
PT432SG,SouthGeorgia
PT440SG,SouthGeorgia
PT445SG,SouthGeorgia
PT446SG,SouthGeorgia
PT449SG,SouthGeorgia
PT49WS,EastWeddellSea
PT508SG,SouthGeorgia
PT511SG,ShagRocks
PT60WS,EastWeddellSea
PT61WS,EastWeddellSea
PT73SG,SouthGeorgia
PT84AP,BransfieldStrait
WS112,EastWeddellSea
JR179_403,Amundsen
JR179_674,Amundsen
JR179_797,Amundsen
JS091,EAMawson
JS099,EAMawson
JS_18,SouthWeddellSea
JS_19,SouthWeddellSea
Oct-03,EastWeddellSea
Oct-04,EastWeddellSea